TkRange range
TkBool bool
TkStr str
TkDouble double
TkFloat float
TkInt int
TkChar char
TkBe &
TkBou |
TkBNot ~
TkXor ^
TkRS >>
TkLS <<
TkIdent ident
TkDesident desident
TkId id
TkNumconst numconst
TkMenor <
TkMaior >
TkMenorIgual <=
TkMaiorIgual >=
TkDiferente !=
TkIgual ==
TkBarraBarraIgual //=
TkAsteriscoAsteriscoIgual **=
TkBeIgual &=
TkBouIgual |=
TkXorIgual ^=
TkRSIgual >>=
TkLSIgual <<=
TkMais +
TkMenos -
TkMultiplicaco *
TkDivisao /
TkBarraBarra //
TkPercent %
TkAsteriscoAsterisco **
TkAbreParenteses (
TkFechaParenteses )
TkOu or
TkE and
TkNot not
TkVirgula ,
TkSe se
TkSenao else
TkSenaoSe elif
TkDoisPontos : 
TkFor for
TkIn in
TkDef def
TkAbreColchete [
TkFechaColchete ]
TkEnquanto while
TkAtrib = 
TkMaisIgual += 
TkMenosIgual -= 
TkMulIgual *= 
TkDivIgual /=
TkPorcentagemIgual %=
TkReturn return
TkCharConst charconst 
